Fecha;Hidraulica;Nuclear;Carbon;Motores diesel;Turbina de gas;Turbina de vapor;Ciclo combinado;Eolica;Solar fotovoltaica;Solar termica;Otras renovables;Cogeneracion;Residuos no renovables;Residuos renovables;Fuel + Gas;Hidroeolica;Generacion total
17/10/2014;57,181099;168,791012;101,142086;8,679314;3,933604;6,338831;58,481339;176,026588;25,02607;13,916667;8,374023;68,821789;6,344003;2,256459;0;-0,000666;705,312218
18/10/2014;54,774066;156,08014;61,326401;8,303121;2,761386;5,481755;52,832862;167,950536;23,627114;13,407851;8,892961;60,270336;6,35706;2,319106;0;-0,000173;624,384522
19/10/2014;51,733916;159,488507;73,019613;7,714934;2,621797;4,359729;62,717827;116,778485;21,642153;8,620217;9,077426;55,96406;6,454785;2,277857;0;0,000154;582,47146
20/10/2014;80,982334;166,600981;120,769609;8,031635;3,035289;6,20019;124,581672;69,875856;22,456221;6,996257;9,071948;67,478491;6,2595285;2,1494035;0;0,005561;694,494976
21/10/2014;78,202485;168,401045;136,319553;7,979412;3,740428;6,200843;115,584852;89,448536;22,94849;10,941371;9,325134;72,094002;6,1385675;2,1508505;0;0,007719;729,483288
22/10/2014;45,354136;168,49558;145,573093;8,341088;2,798037;6,500919;84,97726;165,235529;24,900072;12,511337;8,753704;70,44766;6,0616395;2,2126755;0;0,001532;752,164262
23/10/2014;50,922827;168,586692;154,726728;8,474478;2,950566;6,559388;87,522066;126,395893;24,75454;14,279603;9,011893;73,320348;6,508911;2,277286;0;0,005018;736,296237
24/10/2014;66,915884;168,484886;154,636653;8,78392;2,740642;6,560836;91,804824;79,711015;23,719051;14,001833;9,926962;72,461968;6,6725275;2,3824545;0;0,006437;708,809893
25/10/2014;47,719556;168,447196;152,36399;8,639714;1,835407;4,745867;71,61713;54,371681;23,727123;14,648951;9,828487;65,925048;6,7315625;2,5266605;0;0,004128;633,132501
26/10/2014;38,785873;175,114776;146,857878;8,35463;1,896934;3,759737;80,617842;45,11377;22,786915;10,604962;9,524828;63,856116;6,844149;2,536308;0;-0,000764;616,653954
27/10/2014;65,970196;168,539753;171,057022;8,422443;2,687622;4,300232;102,189181;45,071694;21,724112;12,382484;9,783664;70,865102;5,845438;1,66957;0;-0,001028;690,507485
28/10/2014;57,721136;168,556752;173,614655;8,816237;2,177552;4,221505;100,371888;77,612258;18,428565;5,756463;9,80141;70,271459;5,323268;1,370215;0;-9,00E-06;704,043354
29/10/2014;66,582442;168,644839;161,858965;8,616518;2,109709;4,215475;116,697523;61,096622;21,152687;10,720673;10,569224;71,511744;5,130146;1,328044;0;0,009203;710,243814
30/10/2014;52,423854;168,623215;166,239446;8,773457;1,857399;4,262776;99,528691;76,117657;21,636368;13,237318;10,462535;71,711736;5,6498685;1,7143145;0;0,003299;702,241934
31/10/2014;41,060563;162,194485;160,460562;8,931764;1,624589;4,03066;77,451407;123,78526;20,73142;11,650114;10,40867;70,645693;5,501468;1,774433;0;0,008462;700,25955
01/11/2014;39,673917;144,354706;151,878485;7,420318;1,961768;4,344608;80,841002;49,833968;18,898575;9,056301;9,992601;63,413666;5,7203455;1,7677865;0;0,008764;589,166811
02/11/2014;34,449796;144,726964;123,643992;7,2665;1,565317;3,763423;76,364727;95,770761;15,524068;3,941458;10,108704;57,7827;5,467431;1,517691;0;0,007076;581,900608
03/11/2014;36,41517;144,988381;116,349972;7,722891;2,481184;4,734815;64,22311;228,750405;15,173687;3,926009;9,960301;66,233272;5,1819805;1,2402585;0;0,007971;707,389407
04/11/2014;57,952643;140,3728;81,233606;7,925378;2,36604;5,145485;76,777596;232,862469;12,141794;2,782156;9,570335;66,614667;5,3299935;1,3377265;0;0,007627;702,420316
05/11/2014;50,57638;144,944428;86,982086;7,849311;2,315281;4,7889;84,518215;216,821325;20,962133;12,065158;9,8651;68,726365;5,203272;1,360615;0;0,007797;716,986366
06/11/2014;61,594891;145,541389;101,88282;8,036257;2,302599;5,02659;85,527425;187,155612;19,694336;10,272921;9,775921;70,907632;5,8095895;1,7982805;0;0,006257;715,33252
07/11/2014;65,767398;145,665067;95,761962;8,154145;2,145918;5,170968;90,376642;210,410719;12,017681;0,779097;9,63961;69,864032;6,006237;2,053272;0;0,012677;723,825425
08/11/2014;61,423607;145,819093;93,643975;8,269141;1,248038;4,438589;67,865126;156,378185;9,955588;0,159595;9,369298;63,362024;6,2079605;2,0457775;0;0,006923;630,19292
09/11/2014;54,854301;145,871318;96,802879;7,938202;0,875729;3,920231;80,847996;107,931446;15,782954;5,337332;9,207647;60,896988;6,0888665;1,8731175;0;0,006589;598,235596
10/11/2014;81,33613;145,886932;107,563477;8,517583;1,712245;4,891838;95,919132;126,514454;19,117303;5,565531;8,975676;70,707128;6,016678;1,754683;0;0,004449;684,483239
11/11/2014;63,646952;145,967217;95,754398;8,959222;2,427117;5,077099;70,546895;249,634605;7,614396;0,734509;9,204552;68,629229;5,905262;1,733822;0;0,004362;735,839637
12/11/2014;71,04859;145,983647;91,825175;8,416749;2,417072;4,930972;79,373173;238,563074;13,030691;1,634836;9,284287;65,86151;5,8895805;1,8815195;0;0,008614;740,14949
13/11/2014;67,210718;146,030367;96,695661;8,530377;2,307802;5,058409;61,495304;250,5584;10,283924;0,719145;9,219266;68,23788;6,074162;2,024568;0;-0,00057;734,445413
14/11/2014;82,46293;146,017737;95,737284;8,631028;1,939211;5,099621;72,381078;218,439337;9,450996;0,454711;9,615099;68,944964;5,818798;1,853416;0;0,002188;726,848398
15/11/2014;75,276523;144,871235;38,679772;8,360923;1,559591;5,465136;47,041804;307,141437;15,581045;4,238941;9,477321;52,812747;5,735854;2,043914;0;0,007619;718,293862
16/11/2014;66,845367;145,818208;37,668315;8,100659;1,55812;4,836555;33,25844;294,274616;14,969198;3,43891;9,137809;47,942115;5,7678175;2,0435285;0;0,00471;675,664368
17/11/2014;106,053611;146,228828;102,183124;8,27376;2,651865;5,936572;91,426219;172,858276;16,416322;3,830315;9,264457;63,979494;6,0143365;2,0109735;0;-0,000777;737,127376
18/11/2014;104,892195;146,010732;167,987807;8,301283;2,586414;6,03176;93,026346;92,781188;17,974871;6,051075;9,414155;68,068518;6,165436;2,043607;0;-0,001081;731,334306
19/11/2014;101,475708;145,723701;179,556668;9,035226;3,486749;6,599427;84,95724;97,680026;16,518513;5,475333;9,041478;68,97516;5,8321675;2,0415585;0;0,003577;736,402532
