Año;Mes;Mercado diario;Mercado intradiario (subastas MIBEL y continuo);Restricciones tecnicas PDBF;Banda de regulacion secundaria;Reserva de potencia adicional a subir;Restricciones tecnicas en tiempo real;Incumplimiento de energia de balance;Coste desvios;Saldo desvios;Control del factor de potencia;Saldo PO 14.6;Fallo nominacion UPG;Pagos por capacidad;Servicio de interrumpibilidad;Precio total (€/MWh);Energia de cierre (MWh);Mecanismo ajuste RD-L 10/2022;MesAño;Mes_Nombre;Mes.Order
2014;1;36,39;-0,08;4,11;1,44;0,96;0,29;0;0,48;-0,1;0;0,02;0;7;0;50,51;21154193,43;;12014;Enero;01-ene
2014;2;18,77;-0,12;3,75;1,42;1,62;0,69;0;0,22;0,08;0;0,01;0;6,89;0;33,33;19470389,18;;22014;Febrero;02-feb
2014;3;27,9;-0,07;4,2;0,87;0,95;0,58;0;0,42;0,01;0;0;0;5,46;0;40,32;20268048,31;;32014;Marzo;03-mar
2014;4;27,26;-0,06;4,99;0,93;0,64;1,17;0;0,27;0,01;0;-0,01;0;5,29;0;40,49;18269238,76;;42014;Abril;04-abr
2014;5;43,18;0;3,52;0,81;0,07;0,26;0;0,2;0,01;0;0,01;0;5,14;0;53,2;19216055,63;;52014;Mayo;05-may
2014;6;51,92;-0,03;2,36;1,02;0,01;0,15;0;0,21;-0,13;-0,04;0,01;0;6,14;0;61,62;19338579,06;;62014;Junio;06-jun
2014;7;49,09;-0,04;2,14;0,93;0;0,16;0;0,17;-0,04;-0,06;0;0;7,17;0;59,52;21057212,88;;72014;Julio;07-jul
2014;8;50,71;-0,02;2,87;1;0,01;0,19;0;0,2;-0,07;-0,06;0,01;0;4,76;0;59,6;20063502,26;;82014;Agosto;08-ago
2014;9;59,9;0,03;2,64;1,25;0,49;0,3;0;0,18;-0,02;-0,05;0,01;0;5,47;0;70,2;20064540,79;;92014;Septiembre;09-sep
2014;10;56,84;-0,02;3,52;1,54;0,71;0,3;0;0,23;-0,06;-0,06;0,01;0;5,3;0;68,31;19727921,24;;102014;Octubre;10-oct
2014;11;48,68;-0,01;3,48;1,38;0,8;0,27;0;0,22;-0,01;-0,07;0,01;0;5,45;0;60,2;19641259,99;;112014;Noviembre;11-nov
2014;12;49,43;-0,01;3,2;0,92;0,87;0,17;0;0,2;0,22;-0,08;0;0;6,87;0;61,79;20714191,43;;122014;Diciembre;12-dic
2015;1;53,54;-0,01;2,77;0,99;0,43;0,18;0;0,22;0,38;-0,07;0,02;0;6,94;1,69;67,08;22530623,82;;12015;Enero;01-ene
2015;2;44,62;-0,01;2,84;1,11;0,77;0,25;0;0,2;0,26;-0,08;0,02;0;6,92;1,85;58,75;20656460,23;;22015;Febrero;02-feb
2015;3;44,24;-0,01;3,27;0,98;0,46;0,25;0;0,22;0,07;-0,07;0,01;0;5,48;1,83;56,73;21074295,91;;32015;Marzo;03-mar
2015;4;46,59;0,03;3,87;1,2;0,05;0,27;0;0,32;-0,08;-0,07;0;0;5,26;2,08;59,52;18803992,91;;42015;Abril;04-abr
2015;5;45,91;0,01;3,62;1,08;0,08;0,24;0;0,25;-0,09;-0,07;0;0;5,06;1,97;58,06;19799298,89;;52015;Mayo;05-may
2015;6;55,52;0,01;2,19;0,87;0;0,13;0;0,28;-0,07;-0,05;0,02;0;6,19;1,92;67,01;20304616,7;;62015;Junio;06-jun
2015;7;60,53;0;2,24;0,62;0;0,14;0;0,26;-0,08;-0,05;-0,01;0;7,23;1,65;72,53;23424579,22;;72015;Julio;07-jul
2015;8;56,71;0;2,56;0,84;0,03;0,13;0;0,33;-0,11;-0,06;0,02;0;2,84;1,87;65,16;20823877,83;;82015;Agosto;08-ago
2015;9;52,63;-0,03;2,08;0,89;0,05;0,13;0;0,3;-0,15;-0,05;0;0;3,2;2,01;61,06;19510557,68;;92015;Septiembre;09-sep
2015;10;50,84;-0,02;3,16;0,81;0,15;0,18;0;0,22;-0,07;-0,06;-0,01;0;3,11;1,99;60,3;19707647,87;;102015;Octubre;10-oct
2015;11;52,68;0;2,94;0,7;0,21;0,21;0;0,28;-0,13;-0,06;0;0;3,26;1,97;62,06;19830873,14;;112015;Noviembre;11-nov
2015;12;54,38;0;2,15;0,89;0,07;0,08;0;0,28;-0,18;-0,05;0;0;4,07;1,89;63,58;20805948,8;;122015;Diciembre;12-dic
2016;1;38,5;-0,03;2,56;0,95;0,16;0,12;0;0,31;-0,13;-0,07;0,02;0;3,16;1,87;47,42;21454209,32;;12016;Enero;01-ene
2016;2;28,8;-0,03;2,65;1,13;0,25;0,13;-0,01;0,24;-0,11;-0,09;0,01;0;3,22;1,93;38,12;20776593,36;;22016;Febrero;02-feb
